Country,Year,Population,External Cost,Share External Cost,GDP [million Euro],GrDP per capita
Spain,2013,46727890,147023.4182,14.40914455,1020348,18689.57879
France,2013,65600350,238547.328,11.26717208,2117189,28637.67757
Croatia,2013,4262140,22488.21473,50.72979722,44329.4,5124.464534
Italy,2013,59685227,379232.1529,23.51460841,1612751.3,20667.07641
Cyprus,2013,865878,1504.87645,8.362747708,17995,19044.39604
Latvia,2013,2023825,6331.79431,27.78162856,22791.3,8132.870031
Lithuania,2013,2971905,4173.07105,11.90961929,35039.5,10386.07524
Luxembourg,2013,537039,5096.50276,10.38100553,49094.5,81927.00575
Hungary,2013,9908798,52509.21725,51.34065265,102276.1,5022.494429
Malta,2013,422509,848.33696,10.67856148,7944.3,16794.82103
Netherlands,2013,16779575,77355.71702,11.7123468,660463,34751.01622
Austria,2013,8451860,39163.47809,12.09084434,323910.2,33690.42103
Poland,2013,38062535,161502.1241,41.16689248,392310.7,6063.930737
Portugal,2013,10487289,39226.50059,23.00778428,170492.3,12516.65701
Romania,2013,20020074,92184.84748,64.15518885,143690.4,2572.695412
Slovenia,2013,2058821,17058.23445,46.7934769,36454.3,9420.957699
Slovakia,2013,5410836,24874.40078,33.51563689,74217.3,9119.274585
Finland,2013,5426674,11871.01826,5.809984417,204321,35463.70792
Sweden,2013,9555893,9146.23868,2.069983974,441850.7,45281.42596
Norway,2013,5051275,10826.2165,2.751900631,393408.7,75739.7852
Switzerland,2013,8039060,29868.75379,5.565956501,536632.9,63037.73653
United Kingdom,2013,63905342,268003.2968,12.78435523,2096338,28610.04489
Belgium,2014,11180840,65465.273,16.2443516,403003.3,30188.96854
Bulgaria,2014,7245677,44721.87694,103.9415166,43026,-234.0536212
Czechia,2014,10512419,69836.83975,44.25057945,157821.3,8369.573192
Denmark,2014,5627235,16027.25747,6.030794098,265757,44378.76551
Germany,2014,80767463,373338.9486,12.75312983,2927430,31622.7718
Estonia,2014,1315819,4891.00685,24.39623931,20048.2,11519.2083
Ireland,2014,4637852,15320.2654,7.853115152,195085.2,38760.38619
Greece,2014,10926807,40107.65899,22.62952165,177236,12549.7175
Spain,2014,46512199,144211.1366,13.97180825,1032158,19090.62316
France,2014,66165980,218190.6405,10.14951125,2149765,29192.86255
Croatia,2014,4246809,20240.84255,46.08717616,43918.6,5575.423206
Italy,2014,60782668,353368.6863,21.71362113,1627405.6,20960.52963
Cyprus,2014,858000,1607.40657,9.221962858,17430.2,18441.48418
Latvia,2014,2001468,6625.65837,28.04416515,23625.8,8493.836339
Lithuania,2014,2943472,4261.08233,11.64825288,36581.3,10980.3041
Luxembourg,2014,549680,4938.84752,9.536056287,51791.3,85235.86901
Hungary,2014,9877365,48764.0091,45.87489967,106297.8,5824.811668
Malta,2014,429424,933.31235,10.6650861,8751.1,18205.28813
Netherlands,2014,16829289,74663.95514,11.11798724,671560,35467.69236
Austria,2014,8507786,37630.91769,11.29562006,333146.1,34734.67507
Poland,2014,38017856,155423.2441,38.00378516,408967.8,6669.091384
Portugal,2014,10427301,37680.73908,21.77401528,173053.7,12982.55041
Romania,2014,19947311,90035.78374,59.74163634,150708.6,3041.653898
Slovenia,2014,2061085,15757.51378,41.87008601,37634.3,10614.20864
Slovakia,2014,5415949,21353.19986,28.06208724,76092.7,10107.09298
Finland,2014,5451270,11009.69244,5.321339816,206897,35934.25157
Sweden,2014,9644864,8594.06435,1.958386613,438833.9,44608.18065
Norway,2014,5107970,10702.39338,2.846780221,375947.3,71504.90442
Switzerland,2014,8139631,28389.11894,5.124924395,553942.2,64567.18751
United Kingdom,2014,64351203,249219.3903,10.78367554,2311080.2,32040.75003
Belgium,2015,11237274,67626.35979,16.2289735,416701.4,31064.0321
Bulgaria,2015,7202198,43458.72534,94.8625704,45812.3,326.7856091
Czechia,2015,10538275,70187.76455,41.39449732,169558.2,9429.478302
Denmark,2015,5659715,15614.53605,5.719241562,273017.6,45479.8632
Germany,2015,81197537,370193.91,12.23304331,3026180,32710.18048
Estonia,2015,1314870,4132.47162,20.03001066,20631.4,12547.95408
Ireland,2015,4677627,15697.12233,5.96903455,262975.9,52864.15049
Greece,2015,10858018,37148.33098,21.06285801,176368.9,12821.91363
Spain,2015,46449565,149805.0333,13.90185815,1077590,19974.02918
France,2015,66458153,217264.0134,9.882680628,2198432,29810.75906
Croatia,2015,4225316,21622.11509,47.85114723,45186.2,5576.881092
Italy,2015,60795612,354091.4665,21.39066644,1655355,21403.90549
Cyprus,2015,847008,1508.72988,8.436199284,17884,19333.0761
Latvia,2015,1986096,6131.32565,24.95238767,24572.1,9284.93605
Lithuania,2015,2921262,4375.47783,11.71614893,37345.7,11286.29413
Luxembourg,2015,562958,4539.61862,8.384606158,54142.3,88110.8029
Hungary,2015,9855571,50157.83808,44.45686725,112823.6,6358.410073
Malta,2015,439691,631.762,6.319705503,9996.7,21298.90764
Netherlands,2015,16900726,75638.48528,10.96197222,690008,36351.66411
Austria,2015,8584926,37521.2745,10.89881828,344269.2,35730.99238
Poland,2015,38005614,154490.374,35.88911686,430465.8,7261.438429
Portugal,2015,10374822,38681.52138,21.52402905,179713.2,13593.64803
Romania,2015,19870647,86744.80067,54.16478864,160149.8,3694.142387
Slovenia,2015,2062874,15928.23986,40.99658674,38852.6,11112.82615
Slovakia,2015,5421349,24603.70495,30.79770948,79888.1,10197.53479
Finland,2015,5471753,10288.53256,4.86720087,211385,36751.74436
Sweden,2015,9747355,8462.20194,1.857804699,455494.7,45861.9285
Norway,2015,5166493,11239.71321,3.233220754,347632.1,65110.39244
Switzerland,2015,8237666,26948.64033,4.258833231,632770.5,73542.90155
United Kingdom,2015,64853393,238247.7706,9.008442706,2644716.5,37106.28879
Belgium,2016,11311117,65936.59628,15.33105091,430085.3,32193.8765
